Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Predicted_SalePrice
1,60,3,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,2,4,2,706,0,150,856,1,0,1,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,2,548,2,0,61,0,0,0,0,0,2,2008,8,4,206177.0
2,20,3,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,4,1,978,0,284,1262,1,0,1,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,2,460,2,298,0,0,0,0,0,0,5,2007,8,4,171264.75
3,60,3,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,2,4,2,486,0,434,920,1,0,1,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,2,608,2,0,42,0,0,0,0,0,9,2008,8,4,222843.9
4,70,3,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,4,0,216,0,540,756,1,2,1,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,3,642,2,0,35,272,0,0,0,0,2,2006,8,0,155790.78
5,60,3,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,2,4,2,655,0,490,1145,1,0,1,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,3,836,2,192,84,0,0,0,0,0,12,2008,8,4,266492.48
6,50,3,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,4,5,732,0,64,796,1,0,1,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,2,480,2,40,30,0,320,0,0,700,10,2009,8,4,146075.83
7,20,3,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,4,2,1369,0,317,1686,1,0,1,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,636,2,255,57,0,0,0,0,0,8,2007,8,4,302861.83
8,60,3,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,4,1,859,32,216,1107,1,0,1,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,2,484,2,235,204,228,0,0,0,350,11,2009,8,4,210068.3
9,50,4,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,4,0,0,0,952,952,1,2,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,2,468,2,90,0,205,0,0,0,0,4,2008,8,0,144883.4
10,190,3,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,4,0,851,0,140,991,1,0,1,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,1,205,2,0,4,0,0,0,0,0,1,2008,8,4,120266.5
11,20,3,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,4,1,906,0,134,1040,1,0,1,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,1,384,2,0,0,0,0,0,0,0,2,2008,8,4,131949.75
12,60,3,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,0,4,2,998,0,177,1175,1,0,1,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,3,736,2,147,21,0,0,0,0,0,7,2006,6,5,351058.9
13,20,3,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,4,1,737,0,175,912,1,4,1,912,0,0,912,1,0,1,0,2,1,3,4,6,0,1,352,2,140,0,0,0,176,0,0,9,2008,8,4,139170.83
14,20,3,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,4,2,0,0,1494,1494,1,0,1,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,3,840,2,160,33,0,0,0,0,0,8,2007,6,5,261050.05
15,20,3,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,3,4,1,733,0,520,1253,1,4,1,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,352,2,0,213,176,0,0,0,0,5,2008,8,4,155467.5
16,45,4,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,4,0,0,0,832,832,1,0,1,854,0,0,854,0,0,1,0,2,1,3,5,6,0,2,576,2,48,112,0,0,0,0,0,7,2007,8,4,146077.58
